"Name","Position","Team","Bye Week","Rank","Points","Risk","Upside","ADP","Tier","Outlook","Dynasty","Markers"
"Jake Ferguson","TE","DAL","10","11","125.3","5.3","6.4","9.09","4","The offensive weapons for Dallas were a delight for fantasy managers last season, simply because the defense was nonexistent. Fergalicious took advantage, especially in Weeks 3 through 6 when CeeDee Lamb was out finishing as the TE4, TE5, TE2, and TE10 during those weeks. He set career highs in receptions (82) and TDs (8), but the contributions fell off in the second half. The trained eye will say Ferguson will be due for some TD regression. However, you can trust in the fact that the Dallas D won’t be fixed overnight, making Fergy-Ferg a late-round target who should still get a fair amount of dump-offs in this offense.","Ferguson signed a four-year extension in 2025, making him a big piece of the TE room in Dallas for a hot minute. Competition-wise, the ship looks to have sailed on the Schoon-man (Luke Schoonmaker). We are uncertain if Brevyn Spann-Ford is an actual guy, and the chance of rookie Michael “Trigg Daddy” staying focused enough at practice to make the team is slim to none. All in all, Ferguson looks to be the TE1 on a high-scoring offense for several years. He has a nice and dependable floor for your dynasty squad.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Mark Andrews","TE","BAL","7","12","124.6","4.0","5.5","9.10","4","With Isaiah Likely signing with the New York Giants, all of a sudden, Mark Andrews has life again. The TE19 finish of last season was far from extraordinary, especially as he bottomed out over the final month of the season. Expected TD regression came as well, dropping from 11 to five. Woof. The Ravens didn’t add any huge names TE-wise in the draft - apologies, Matthew Hibner and Josh Cuevas - so the runway exists for Andrews to have a bounce-back season, especially if he can keep up with his red zone target share. He was close to 30% last season.","The Ravens pulled the wool over our eyes last season, teasing the departure of Andrews and opening up the path for Likely’s usage. Snip, snap! Gotcha! It was Likely who was gone from the roster and Andrews who signed a three-year, $39 million extension in December 2025. Andrews looks to still have value on your dynasty squad, whether for a “win now” team, or as trade value if you are rebuilding.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"George Kittle","TE","SF","14","13","121.0","5.1","5.4","9.12","4","Oh, George. Times are tough. It is hard to get behind an almost 33-year-old TE heading into his 10th NFL season who is coming off an Achilles injury. If anyone can do it, you know it is Kittle; he has given us six seasons where he has finished as the TE5 or higher! The physical freak who has publicly said he is targeting an early-season return could be a value in fantasy drafts, if he drops far enough. Pair him with a vanilla-reliable TE that you can use confidently in the first half of your season, knowing you can pop Kittle on your IR. If he comes back even close to his past form late in the season, you have some options in your playoff push. We don’t suggest even entertaining the option unless you have multiple IR spots.","If you have Kittle in dynasty, you are holding as you would only be getting pennies on the dollar if you trade him. You might get lucky to obtain another solid year from him in 2027 post-Achilles, and after that, it might just be a “thank you so much for your service” farewell.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Oronde Gadsden","TE","LAC","12","14","116.7","4.5","6.8","8.07","4","Fifth-round draft pick Gadsden broke all the Chargers' rookie TE records last year as he finished with 49 receptions on 69 targets, 664 yards receiving, and three TDs. However, keep in mind that 241 of those yards came in two weeks. It was looking like the potential was high for 2026 with the addition of OC Mike McDaniel, but then the team had to go and sign David Njoku. Throw in blocking TE Charlie Kolar and FB Alec Ingold, and Gadsden’s path to fantasy relevance in redraft this year has gotten circuitous at best. Despite the alluring upside, 2026 feels like a tough route for Gadsden to be counted on in fantasy.","We were all certain we had hit fantasy gold in dynasty when Gadsden posted TE1 and TE4 finishes in back-to-back weeks last season. Alas, we flew too close to the sun as he dropped back to Earth faster than a paper straw in a milkshake. The team added David Njoku, but the silver lining is that he only signed a one-year deal, and it could easily be a one-and-done. Gadsden represents an intriguing buy-low opportunity for a team that won’t be depending on him for at least a year.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Chig Okonkwo","TE","WAS","10","15","115.1","3.8","5.2","13.03","4","Chig had his moments in Tennessee, flashing some YAC-ability but never quite being a consistent fantasy threat. He signed a three-year contract with the Washington Commanders, breathing new life into his fantasy prospects on a roster that desperately needs another pass-catcher opposite WR Terry McLaurin. You won’t have to pay too much to take a shot on the guy, so why not? He looks like an easy stash or waiver wire pickup early in the season. Chig is not dead for fantasy yet, we say!","We saw flashes in a sub-par Tennessee offense last year with four top-12 weeks in fantasy. As the presumed TE1 in a much better offense, he saw a value boost this offseason but remains a mid-level TE2 for fantasy. If you are looking to add TE depth this off-season for a small price, Chig is your man!","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Dalton Schultz","TE","HOU","6","16","114.6","3.1","4.8","9.10","4","“Dr. Schultz” definitely took some sabbatical weeks in 2025 - clocking eight weeks where he finished as the TE20 or worse. Ick. But then he also had some weeks where he was the dude, slicing and dicing in the operating room, finishing as the TE11 or better seven times. It was tough to anticipate what version of Schultz we were going to get in 2025, making starting him every week a scary decision. A lot will ride on whether Stroud can return to that magical rookie season production. He has had at least 85 targets in the past six seasons, but TDs have never seemed to be his thing. Schultz is a low-ceiling, later-round option in redraft this season.","The man signed a one-year extension in March of this year. He will turn 30 this year and will just be a boring, vanilla TE2 sitting on your dynasty roster, reminding you once in a while that he can find the end zone.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Dallas Goedert","TE","PHI","9","17","114.6","5.3","6.0","9.08","4","The TE3(!) in 2025 returns to Philly with the talented rookie Eli Stowers breathing down his neck. After a league-leading 11 TDs last season - the same as Trey McBride, on half as many receiving yards (591) - we can expect some TD regression. It will be tough to start him every week in redraft, especially with all of the offensive options in Philly.","Goedert signed a one-year extension in the off-season, and with the addition of Stowers, we can see a world where the team moves on after 2026. We can hope for a landing spot where he is featured near the goal line so we can squeak out another year or two in dynasty. He should go off draft boards in the early 20-something range in start-ups.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Dalton Kincaid","TE","BUF","7","18","114.6","5.8","7.5","8.03","4","After his rookie season finish of TE11 in 2023, it has been downhill ever since for the guy we were hoping to become Josh Allen’s No. 1 target. His 49 targets only translated to 571 yards, five TDs, and a TE15 finish. With Joe Brady stepping in as HC, the offense should look similar, but there is no guarantee. The team added DJ Moore in the offseason to finally give Allen a WR1, and TE Dawson Knox continues to be another solid receiving option; remember, everybody eats in Buffalo. You won’t feel confident heading into this season with Kincaid as the only TE on your roster as four targets per game will not get it done in the TE fantasy streets.","There was a time when we were pumped for the young TE tied to a high-powered offense and a QB with an arm who could sling it. He is under contract for two more seasons sustaining his value as a fringe TE1 for dynasty. Keep the light on for Kincaid to see how the offense is run with Brady at the helm, but make that light small. And dimmable.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Hunter Henry","TE","NE","14","19","110.7","3.3","5.8","9.04","4","Henry was quietly the TE6 on a team where he was second in targets with 87, just behind Stefon Diggs with 102. The problem with Henry was that you never seemed to know when to start him, as he surpassed eight fantasy points per game in less than half of his games (47%). Henry’s weekly uncertainty might not improve much with the addition of AJ Brown and Romeo Doubs. Henry seems to consistently be undervalued in drafts, making him an easy trigger to pull at the end or a pickup off waivers as your second TE on a deep roster.","Henry is a free agent after the 2026 season, and New England drafted Notre Dame rookie Eli Raridon in the third round. They seem to be looking to the future at the position. Henry will be playing his 10th season in 2026, so you probably won’t get much in a trade for him. Hold on and see if you can use him in prime matchups.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Kenyon Sadiq","TE","NYJ","","20","104.0","4.6","5.4","10.07","5","Sadiq’s impressive athletic profile (remember when he broke almost every record at the NFL Combine?) catapulted him into the first round, heading to the New York Jets at pick 16. The question marks related to his usage at Oregon remain, as fantasy managers must question if a man who couldn’t top 600 receiving yards during his final year in college will be successful as a Jet with Geno Smith under center? He could end up second or third on the team in targets behind WR Garrett Wilson and RB Breece Hall, while competing with fellow rookie Omar Cooper Jr. Oh, and there is also a feline in Mason Taylor in the room that Sadiq has to overtake on the depth chart. Between you and me, a dawg always wins over a cat. You probably aren’t counting on Sadiq right away in redraft this year, but his time will eventually come.","Dynasty is another story for Sadiq, who shows strong promise looking into the future. One of the youngest at the position, only 20 years old, and drafted to an organization trying desperately to be “one QB away,” Sadiq could be one of the great TEs of the next few years. Some managers may be down to overpay, wowed by his Combine athletic performance, evidenced by him going as high as the 1.07 in rookie drafts. However, you might be ok waiting for someone like Eli Stowers several picks later and get a similar ROI. However you cut it, Sadiq’s value for dynasty is strong and should hold there for a while.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Isaiah Likely","TE","NYG","7","21","102.7","3.8","5.8","11.01","5","Remember Week 1 of the 2024 season when Likely had over 100 yards receiving and a TD, and the entire fantasy community went, wait whaaaat? Mhmm. The man is now out of Mark Andrews’ shadow and ready to live large in New York. Target-wise, the big competition is Malik Nabers, and behind him are the likes of Darius Slayton, Darnell Mooney, and fellow TE Theo Johnson.  We are following the money ($26 million guaranteed) and his connection with John Harbaugh in assuming that Likely will be a significant part of this offense. You don’t have to go after him early to invest in this late-round flier.","Likely’s dynasty situation really couldn’t be much better. He lands on a new team with a coach who pushed for him and shares rapport with. The 25-year-old signed a three-year deal, and he has an exciting young QB in Jaxson Dart to grow with. He does have Theo Johnson sharing the room, but Harbaugh has made clear his proclivity for multiple TEs on the field. If you have Likely, hold and hope for the breakout.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"T.J. Hockenson","TE","MIN","6","22","100.9","4.1","5.2","12.04","5","After three TE4 or better finishes in three out of four years, Hockenson fell and fell hard. He saw 66 mostly forgettable targets in 2025. He was unstartable almost every week until he tapped out for the final two weeks of the season due to a shoulder injury. The Vikings’ offense will look different this season with either Kyler or “Nine” under center, and with Justin Jefferson and Jordan Addison still there, it is hard to consider him in redraft this season, at least until you see how the usage pans out.","Hockenson used to be a fantastic dynasty asset as recently as a couple of years back, but oh, how quickly the tides turn! He is almost 29, and even though there is no one threatening him in the depth chart, he seems to have lost his shine. If Kyler can bring him back to his former glory, consider yourself lucky.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Juwan Johnson","TE","NO","11","23","99.1","3.8","5.2","10.02","5","There have been whispers in the bushes every year about a potential Juwan Johnson breakout season, and we finally got it in 2025! His TE10 finish was the best of his career on the back of 529 routes run, the fifth most for the position. It was the rapport with QB Tyler Shough that really greased the gears, and they should be ready to come out firing to start the season. The team added offensive weapons with eighth-overall pick Jordyn Tyson, Travis Etienne Jr., and TEs Oscar Delp and Noah Fant, which likely eats into his target volume. Going off draft boards past TE15 territory means you can shoot your shot with the former basketballer if you had a fun ride last year.","We do not usually suggest targeting almost 30-year-old TEs with a classic sixth-year breakout. The team restructured Johnson’s contract this spring, giving themselves an out after 2027. Add in the drafting of Georgia’s Oscar Delp, and it suggests that the team is preparing for a world without Juwan-son as a Saint. If you can capitalize on a strong 2025 and trade him to a TE-needy team, we don’t think it is a bad decision. If no takers, you are holding and hoping.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Pat Freiermuth","TE","PIT","5","24","95.9","4.2","3.8","","6","Is the Muth still Luth? Unfortunately, the answer might be no with only 486 yards receiving and four TDs in 2025. The team gets back the one and only Aaron Rodgers, who had 67% of his passing yardage come after the catch, the highest rate in the NFL. With Mike Tomlin and Jonnu Smith out and Mike McCarthy and Michael Pittman Jr. in, it is up in the air how this offense will function. Look, it’s ok to just say no in fantasy.","It is perfectly fine if you want nothing to do with this Pittsburgh offense, but keep in mind that this is probably the last year of Aaron Rodgers (we hope). The Mike McCarthy era has now begun. The Muth signed a four-year extension in 2024, so he will be a Steeler through 2028. He is a hold as we hope for a team makeup that lets the Muth get Luth again, as he did in 2022 and 2024.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Cade Otton","TE","TB","9","25","93.4","3.8","3.8","14.01","6","All hail the ultimate cardio king! Otton ran the fourth most routes among TEs in 2025 (540!) and was on the field for the third most passing plays (625!). Obviously, he crushed it in fantasy football, right? RIGHT? Exactly. Otton finished the season with only one TD, reminding us that fantasy football and real-life football regularly do not align. On a team full of offensive weapons, including two solid pass-catching RBs, Otton’s time in the sun is almost set. But hey, if your league gets fantasy points for getting your steps in, Otton should be the first off the board.","You aren’t going to get anything of value for Cade Otton if you try to trade him, so on your bench, he shall live as you dream at night of positive TD regression. If somehow that happens, ship him out the door faster than Jason cranking down the AC in July.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"AJ Barner","TE","SEA","8","26","90.3","3.9","4.2","12.01","6","With Noah Fant out of the picture, the TE position was up for grabs in Seattle, and Barner did a decent job showing he should be the guy moving forward. Finishing as the TE14, he had a decent 64 targets, which turned into 519 yards and six TDs. His 18 looks in the red zone were stellar too, just two fewer than JSN. He remains too volatile in redraft, especially with fellow Seahawk Elijah Arroyo still in the mix. Barner had finishes as high as TE1 and as low as TE58 last year. It would be tough to stomach the amount of Tums we would need to ride that roller coaster.","Barner carries a little more weight in dynasty. He is only 24 and will be with Seattle at least through 2027, a very well-run franchise. However, the same issues exist in dynasty as they do in redraft: four targets a game are just not enough to crack your starting lineup. His seven ""TE1"" finishes might lure someone into this TE trap, but as we have established on the podcast, a top-12 finish at this position is an outdated term.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Colby Parkinson","TE","LAR","8","27","87.4","4.1","4.8","13.03","6","After five seasons of “who’s that guy” in Los Angeles, 2025 turned into “hey, I know that guy” for Colby Parkinson. He set career highs in targets (56), yards (408), and TDs (8!!). The TDs are certainly an outlier, but he was a certifiable red zone weapon, seeing 22 red zone targets inside the 20, just three shy of Puka Nacua. We are paying attention, Mr. Parkinson. The only problem is  Sean McVay loves TEs, and with a crowded room, you won’t know what weeks to start Parkinson or any of the other Rams TEs.","Good ole Colby is 27 and in the last year of his deal. The Rams have made it known they have their eyes on the future, drafting Terrance Ferguson last year and Max Klare in 2026. You can hold onto him to see if he heads to a team that features him more, and if he doesn’t, there are worse offenses to be tied to.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"David Njoku","TE","LAC","9","28","82.3","5.3","3.9","12.06","6","Njoku is joining the Chargers on a one-year deal, and he joins a room with the new hotness, Oronde Gadsden, and blocking TE Charlie Kolar. Njoku was quickly usurped by rookie Harold Fannin Jr. in Cleveland last season, so it is unclear how he will be used in Mike McDaniel’s offense. You need to keep an eye on how the team functions and read the tea leaves in case you need to grab him from waivers early in the season.","Njoku turns 30 this year and is coming off a knee injury that robbed him of the final four games of the 2025 season. If someone is offering up something for him trade-wise after he has a decent game, it might be time to send Njoku away with a thank-you note and a box of chocolates.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Mike Gesicki","TE","CIN","10","29","81.9","3.6","5.6","","6","Remember those magical “Sticky Gesicki” weeks a few seasons back? Never forget. Gesicki’s great weeks in 2024 primarily made their appearances when Tee Higgins was out of the lineup, and then in 2025, things got even more confusing with QB Joe Burrow missing nine weeks. Gesicki only had a 9.4% target share last season and will always be left battling on that front with talents like Ja’Marr Chase and Higgins on the field. If he is on your roster, you are only entertaining starting him if one of those WRs is out, and for a guy who only had two receiving TDs in 2025, you don’t need that nonsense.","There is so much that has to go a certain way for Gesicki to be relevant in dynasty. Sure, he might be the guy to start on the third Sunday of October when the moon is in its waning phase, and the wind is blowing at exactly 2.2 mph, but c’mon, who has the time for that? The team has more youth on their side with Erick All Jr. (25) and rookie Jack Endries (22), making it even easier to leave Gesicki on your bench.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Greg Dulcich","TE","MIA","12","30","81.2","5.1","4.6","","6","You may have forgotten about the curly-locked, marvelous-mustached Greg D, especially since he has done close to nothing fantasy-wise during his four years so far in the NFL. The best we saw from him was a TE30 finish in his rookie season in Denver. However, Greg showed glimmers of promise at the end of last season finishing second in yards per route run among TEs from Week 9 onward. Miami desperately needs pass-catchers considering a WR core of Malik Washington, Jalen Tolbert, and Tutu Atwell in South Florida. No offense to those guys, but it puts Dulcich in a great position to potentially be the target leader for new QB Malik Willis. Greg D also finished second among all TEs in YAC/catch, only behind Tucker Kraft. He is a name to monitor throughout camp as he potentially could be an early season waiver pickup.","If Greg D takes advantage of this season in Miami fantasy-wise, you may have some trade bait on your hands. There is little chance that the Dolphins don’t look to flesh out this WR room in the upcoming drafts. If he has some spike weeks and you have other competent TEs on your roster, it is worth kicking the tires to see what you could get.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Eli Stowers","TE","PHI","","31","81.0","6.3","5.6","13.07","6","The consensus TE2 behind Sadiq heading into the NFL Draft is now connected to one of the NFC perennial powers. After a final year at Vandy, where he won the 2025 John Mackey award as college football’s top TE, Stowers' production profile was quite strong, leading the class in targets per route run. Stowers will be listed as a TE, but he is essentially a big hybrid WR/TE who actually began college as a QB. He will be behind Dallas Goedert on the depth chart, making him hard to roster in redraft in 2026 outside of an injury.","31-year-old Goedert looks to be at the end of his storied career, and when he moves on, Stowers will slide right into a great opportunity. Saquon’s sun may also be setting soon as the team's aged identity looks set to transition. Stowers will be a big part of their future, and if you were lucky enough to snag him in dynasty, he could be the answer to your TE position for a significant amount of time. We have him ranked as a top-12 dynasty TE asset to start 2026.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Cole Kmet","TE","CHI","5","32","79.9","3.5","3.7","","6","The offensive weapons in Chicago are plenty, and Kmet tried desperately to contribute in 2025. Unfortunately, the 347 receiving yards on 48 targets - although helpful for the NFL team - were not helpful for our fantasy squads. We all know that Colston Loveland is the present and future for this franchise, so any hope of using Kmet in redraft is out the window, barring an injury. And don’t you dare put that into the universe!","There was dynasty chatter about Kmet heading into the 2024 season, coming off the heels of back-to-back TE7 finishes. We know those days are over. With Mr. Loveland at the TE helm, Chicago added rookie Sam Roush in the third round so we could see Kmet heading to a new home soon. You can hold on to him to see if he lands on a team that can reignite his offensive spark. He is only 27.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Gunnar Helm","TE","TEN","10","33","76.9","4.2","4.3","14.05","6","There was mixed chatter around Helm as he started his NFL career with the downtrodden Titans. He was the team's TE2 behind our pinup boy Chig (learning from the best, amirite?), and he put together a sneaky decent season. He had three TE11 finishes or better, and this was with a QB who was sacked 55 (!) times and had the third-worst 59% completion rate. Helm’s usage increased after his Week 10 bye, going from 8.7% target share to 13.1%. With Chig Okonkwo heading to the Commanders, the opportunity is there, making him an interesting prospect to keep an eye on, especially in deeper leagues.","Helm is worth more in dynasty, especially with the rebuilding of the Titans. HC Robert Saleh has the reins now, and the organization splurged, taking WR Carnell Tate fourth overall, and padding the WR room with Wan’Dale Robinson. If QB Cam Ward can take a leap, there is a strong chance Helm will be along for the ride, making him an intriguing and somewhat affordable buy if you believe in the team.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
